epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,411.413,1.27038,0.90032,0.99419,0.32832,0.000208027,0.000208027,0.000208027
2,761.474,0.46342,0.93581,0.99806,0.20677,0.000408116,0.000408116,0.000408116
3,1078.32,0.37915,0.94129,0.99742,0.19509,0.000599955,0.000599955,0.000599955
4,1384.46,0.33077,0.94097,0.99839,0.18988,0.000587875,0.000587875,0.000587875
5,1694.66,0.28856,0.95452,0.99742,0.16038,0.0005755,0.0005755,0.0005755
6,2004.22,0.24019,0.94742,0.99968,0.16302,0.000563125,0.000563125,0.000563125
7,2317.23,0.21835,0.95516,0.99903,0.15872,0.00055075,0.00055075,0.00055075
8,2631.09,0.20236,0.95387,0.99774,0.16037,0.000538375,0.000538375,0.000538375
9,2947.32,0.18498,0.95258,0.99903,0.15805,0.000526,0.000526,0.000526
10,3263.76,0.17369,0.96,0.99903,0.14264,0.000513625,0.000513625,0.000513625
11,3584.65,0.16411,0.95903,0.99903,0.14625,0.00050125,0.00050125,0.00050125
12,3905.11,0.14287,0.95871,0.99871,0.14423,0.000488875,0.000488875,0.000488875
13,4217.59,0.12887,0.95645,0.99839,0.15153,0.0004765,0.0004765,0.0004765
14,4531.77,0.13007,0.95742,0.99839,0.15339,0.000464125,0.000464125,0.000464125
15,4843.26,0.11638,0.96323,0.99935,0.12796,0.00045175,0.00045175,0.00045175
16,5157.64,0.118,0.96581,0.99871,0.14462,0.000439375,0.000439375,0.000439375
17,5470.47,0.10394,0.96194,0.99935,0.14465,0.000427,0.000427,0.000427
18,5788.42,0.10445,0.96032,0.99871,0.16112,0.000414625,0.000414625,0.000414625
19,6104.44,0.0994,0.96032,0.99968,0.15856,0.00040225,0.00040225,0.00040225
20,6426.17,0.0935,0.95839,0.99903,0.15705,0.000389875,0.000389875,0.000389875
21,6747.71,0.08943,0.95968,0.99935,0.16111,0.0003775,0.0003775,0.0003775
22,7065.46,0.09477,0.95935,0.99903,0.15038,0.000365125,0.000365125,0.000365125
23,7380.77,0.09279,0.96129,0.99871,0.15645,0.00035275,0.00035275,0.00035275
24,7694.13,0.08439,0.96226,0.99935,0.14624,0.000340375,0.000340375,0.000340375
25,8006.6,0.07947,0.96258,0.99935,0.14627,0.000328,0.000328,0.000328
26,8320.68,0.08102,0.96677,0.99903,0.13344,0.000315625,0.000315625,0.000315625
27,8631.95,0.07527,0.96516,0.99903,0.13945,0.00030325,0.00030325,0.00030325
28,8946.33,0.07261,0.96161,0.99935,0.14613,0.000290875,0.000290875,0.000290875
29,9257.65,0.06479,0.96323,0.99903,0.14737,0.0002785,0.0002785,0.0002785
30,9571.62,0.06224,0.96323,0.99903,0.14545,0.000266125,0.000266125,0.000266125
31,9886.69,0.06675,0.96581,0.99903,0.15061,0.00025375,0.00025375,0.00025375
32,10199.3,0.06002,0.9671,0.99935,0.14852,0.000241375,0.000241375,0.000241375
33,10511.5,0.05765,0.96645,0.99839,0.1411,0.000229,0.000229,0.000229
34,10827.7,0.05363,0.96323,0.99871,0.14305,0.000216625,0.000216625,0.000216625
35,11144.6,0.0664,0.96484,0.99871,0.14096,0.00020425,0.00020425,0.00020425
36,11461.2,0.05458,0.96839,0.99903,0.12789,0.000191875,0.000191875,0.000191875
37,11772.2,0.05338,0.96806,0.99774,0.13963,0.0001795,0.0001795,0.0001795
38,12089.4,0.04723,0.96806,0.99839,0.13426,0.000167125,0.000167125,0.000167125
39,12416.5,0.04471,0.96645,0.99903,0.13576,0.00015475,0.00015475,0.00015475
40,12735.5,0.04337,0.96548,0.99871,0.1388,0.000142375,0.000142375,0.000142375
41,13048.4,0.04529,0.96677,0.99871,0.14359,0.00013,0.00013,0.00013
42,13380.5,0.0435,0.96516,0.99935,0.139,0.000117625,0.000117625,0.000117625
43,13713.6,0.04133,0.96548,0.99871,0.13947,0.00010525,0.00010525,0.00010525
44,14053.4,0.03864,0.96677,0.99903,0.1394,9.2875e-05,9.2875e-05,9.2875e-05
45,14384.3,0.04129,0.96645,0.99935,0.13776,8.05e-05,8.05e-05,8.05e-05
46,14724.6,0.03652,0.96645,0.99935,0.13842,6.8125e-05,6.8125e-05,6.8125e-05
47,15074.8,0.03194,0.96806,0.99935,0.13889,5.575e-05,5.575e-05,5.575e-05
48,15424.7,0.03501,0.96774,0.99935,0.13805,4.3375e-05,4.3375e-05,4.3375e-05
49,15770.1,0.03861,0.96871,0.99903,0.1373,3.1e-05,3.1e-05,3.1e-05
50,16120.5,0.03806,0.96806,0.99935,0.13778,1.8625e-05,1.8625e-05,1.8625e-05
